TIME,Base,Minor,Rssi,,,,,Base,21,,
28:13.8,21,26,-60,,,,,,,,
28:13.9,21,53,-67,,,,,,,,
28:13.9,21,55,-68,,,,,,,,
28:13.9,21,32,-68,,,,,,,,
28:13.9,21,35,-79,,,,,,,,
28:13.9,21,64,-68,,,,,,,,
28:13.9,21,63,-70,,,,,,,,
28:13.9,21,22,-50,,,,,,,,
28:13.9,21,44,-63,,,,,,,,
28:13.9,21,43,-65,,,,,,,,
28:13.9,21,62,-71,,,,,,,,
28:13.9,21,29,-66,,,,,,,,
28:13.9,21,45,-67,,,,,,,,
28:13.9,21,26,-61,,,,,,,,
28:14.0,21,55,-67,,,,,,,,
28:14.0,21,35,-79,,,,,,,,
28:14.0,21,41,-51,,,,,,,,
28:14.0,21,44,-63,,,,,,,,
28:14.0,21,61,-66,,,,,,,,
28:14.0,21,27,-74,,,,,,,,
28:14.0,21,23,-57,,,,,,,,
28:14.1,21,53,-67,,,,,,,,
28:14.1,21,31,-67,,,,,,,,
28:14.1,21,36,-78,,,,,,,,
28:14.1,21,58,-74,,,,,,,,
28:14.1,21,41,-51,,,,,,,,
28:14.1,21,63,-72,,,,,,,,
28:14.1,21,22,-49,,,,,,,,
28:14.1,21,21,-57,,,,,,,,
28:14.1,21,60,-69,,,,,,,,
28:14.1,21,62,-71,,,,,,,,
28:14.1,21,28,-67,,,,,,,,
28:14.1,21,24,-53,,,,,,,,
28:14.1,21,46,-70,,,,,,,,
28:14.1,21,48,-70,,,,,,,,
28:14.1,21,47,-66,,,,,,,,
28:14.2,21,53,-67,,,,,,,,
28:14.2,21,55,-64,,,,,,,,
28:14.2,21,39,-68,,,,,,,,
28:14.2,21,38,-71,,,,,,,,
28:14.2,21,35,-79,,,,,,,,
28:14.2,21,34,-74,,,,,,,,
28:14.2,21,59,-67,,,,,,,,
28:14.2,21,42,-61,,,,,,,,
28:14.2,21,44,-61,,,,,,,,
28:14.2,21,43,-68,,,,,,,,
28:14.2,21,62,-72,,,,,,,,
28:14.2,21,24,-53,,,,,,,,
