TIME,Base,Minor,Rssi,,,,,Base,25
29:47.7,25,28,-59,,,,,,
29:47.7,25,29,-59,,,,,,
29:47.7,25,24,-58,,,,,,
29:47.7,25,46,-68,,,,,,
29:47.7,25,47,-68,,,,,,
29:47.7,25,25,-55,,,,,,
29:47.8,25,53,-68,,,,,,
29:47.8,25,32,-64,,,,,,
29:47.8,25,34,-74,,,,,,
29:47.8,25,36,-68,,,,,,
29:47.8,25,63,-69,,,,,,
29:47.8,25,21,-59,,,,,,
29:47.8,25,62,-70,,,,,,
29:47.8,25,61,-66,,,,,,
29:47.8,25,28,-58,,,,,,
29:47.8,25,27,-53,,,,,,
29:47.8,25,29,-58,,,,,,
29:47.8,25,24,-58,,,,,,
29:47.8,25,46,-70,,,,,,
29:47.8,25,47,-67,,,,,,
29:47.8,25,25,-55,,,,,,
29:47.9,25,53,-67,,,,,,
29:47.9,25,31,-67,,,,,,
29:47.9,25,54,-75,,,,,,
29:47.9,25,39,-79,,,,,,
29:47.9,25,38,-69,,,,,,
29:47.9,25,56,-77,,,,,,
29:47.9,25,59,-72,,,,,,
29:47.9,25,36,-66,,,,,,
29:47.9,25,58,-68,,,,,,
29:47.9,25,41,-67,,,,,,
29:47.9,25,63,-69,,,,,,
29:47.9,25,44,-61,,,,,,
29:47.9,25,21,-58,,,,,,
29:47.9,25,27,-55,,,,,,
29:47.9,25,23,-67,,,,,,
29:47.9,25,48,-63,,,,,,
29:47.9,25,26,-64,,,,,,
29:47.9,25,47,-63,,,,,,
29:48.0,25,38,-70,,,,,,
29:48.0,25,34,-67,,,,,,
29:48.0,25,56,-71,,,,,,
29:48.0,25,59,-74,,,,,,
29:48.0,25,41,-67,,,,,,
29:48.0,25,44,-61,,,,,,
29:48.0,25,21,-57,,,,,,
29:48.0,25,43,-71,,,,,,
29:48.0,25,28,-60,,,,,,
29:48.0,25,27,-55,,,,,,
29:48.0,25,29,-60,,,,,,
29:48.0,25,46,-78,,,,,,
29:48.0,25,23,-65,,,,,,
