"board_id","block_id","reg_dt","major","minor","lc1","lc2","lc3","lc4","etc","insert_dt"
"K011","1","2021-08-27 15:25:36.823000","1","41","999","999","354","0",\N,"2021-08-27 15:25:39.172"
"K011","3","2021-08-27 15:25:36.823000","1","43","0","78","0","93",\N,"2021-08-27 15:25:39.172"
"K011","4","2021-08-27 15:25:36.823000","1","44","999","999","963","999",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:36.905000","1","21","75","0","0","90",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:36.905000","1","24","0","0","94","0",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:37.110000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K011","3","2021-08-27 15:25:37.163000","1","43","65","73","0","73",\N,"2021-08-27 15:25:39.172"
"K011","4","2021-08-27 15:25:37.163000","1","44","999","999","999","999",\N,"2021-08-27 15:25:39.172"
"K012","1","2021-08-27 15:25:37.181000","1","45","0","52","0","0",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:37.210000","1","21","75","0","0","90",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:37.210000","1","24","0","0","94","0",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:37.415000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K011","4","2021-08-27 15:25:37.471000","1","44","842","365","999","999",\N,"2021-08-27 15:25:39.172"
"K012","1","2021-08-27 15:25:37.488000","1","45","608","999","999","383",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:37.517000","1","21","77","0","0","91",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:37.517000","1","24","0","0","93","0",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:37.719000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K011","3","2021-08-27 15:25:37.776000","1","43","0","0","0","51",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:37.820000","1","21","77","0","0","91",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:37.820000","1","24","0","0","93","0",\N,"2021-08-27 15:25:39.172"
"K012","1","2021-08-27 15:25:37.836000","1","45","322","999","999","942",\N,"2021-08-27 15:25:39.172"
"K012","4","2021-08-27 15:25:37.836000","1","48","202","93","89","0",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:38.023000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:38.120000","1","21","77","0","0","91",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:38.120000","1","24","0","0","93","0",\N,"2021-08-27 15:25:39.172"
"K012","1","2021-08-27 15:25:38.141000","1","45","0","0","999","0",\N,"2021-08-27 15:25:39.172"
"K012","4","2021-08-27 15:25:38.141000","1","48","999","619","999","999",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:38.328000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:38.429000","1","21","77","0","0","91",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:38.429000","1","24","0","0","92","0",\N,"2021-08-27 15:25:39.172"
"K012","3","2021-08-27 15:25:38.472000","1","47","0","0","0","60",\N,"2021-08-27 15:25:39.172"
"K012","4","2021-08-27 15:25:38.472000","1","48","999","196","999","999",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:38.633000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K013","1","2021-08-27 15:25:38.728000","1","49","808","999","999","999",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:38.734000","1","21","78","0","0","92",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:38.734000","1","24","0","0","92","0",\N,"2021-08-27 15:25:39.172"
"K013","4","2021-08-27 15:25:38.728000","1","52","85","142","0","0",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:38.936000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:39.040000","1","21","78","0","0","91",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:39.040000","1","24","0","0","92","0",\N,"2021-08-27 15:25:39.172"
"K014","1","2021-08-27 15:25:39.080000","1","53","0","52","0","0",\N,"2021-08-27 15:25:39.172"
"K013","1","2021-08-27 15:25:39.096000","1","49","98","374","999","999",\N,"2021-08-27 15:25:39.172"
"K013","2","2021-08-27 15:25:39.096000","1","50","157","114","116","167",\N,"2021-08-27 15:25:39.172"
"K013","3","2021-08-27 15:25:39.096000","1","51","52","0","0","0",\N,"2021-08-27 15:25:39.172"
"K013","4","2021-08-27 15:25:39.096000","1","52","238","999","999","786",\N,"2021-08-27 15:25:39.172"
"K008","3","2021-08-27 15:25:39.239000","1","31","0","60","0","0",\N,"2021-08-27 15:25:42.402"
"K008","4","2021-08-27 15:25:39.239000","1","32","95","0","0","0",\N,"2021-08-27 15:25:42.402"
"K007","1","2021-08-27 15:25:39.241000","1","25","0","60","0","0",\N,"2021-08-27 15:25:42.402"
"K006","1","2021-08-27 15:25:39.345000","1","21","78","0","0","92",\N,"2021-08-27 15:25:42.402"
"K006","4","2021-08-27 15:25:39.345000","1","24","0","0","92","0",\N,"2021-08-27 15:25:42.402"
"K014","1","2021-08-27 15:25:39.386000","1","53","0","95","0","0",\N,"2021-08-27 15:25:42.402"
"K014","4","2021-08-27 15:25:39.386000","1","56","0","58","0","0",\N,"2021-08-27 15:25:42.402"
"K013","3","2021-08-27 15:25:39.404000","1","51","69","0","0","0",\N,"2021-08-27 15:25:42.402"
"K013","4","2021-08-27 15:25:39.404000","1","52","254","0","999","999",\N,"2021-08-27 15:25:42.402"
"K008","3","2021-08-27 15:25:39.542000","1","31","0","83","0","0",\N,"2021-08-27 15:25:42.402"
"K008","4","2021-08-27 15:25:39.542000","1","32","126","60","0","0",\N,"2021-08-27 15:25:42.402"
"K007","1","2021-08-27 15:25:39.547000","1","25","0","60","0","0",\N,"2021-08-27 15:25:42.402"
"K006","1","2021-08-27 15:25:39.650000","1","21","78","0","0","92",\N,"2021-08-27 15:25:42.402"
"K006","4","2021-08-27 15:25:39.650000","1","24","0","0","92","0",\N,"2021-08-27 15:25:42.402"
"K014","1","2021-08-27 15:25:39.691000","1","53","999","927","0","637",\N,"2021-08-27 15:25:42.402"
"K013","3","2021-08-27 15:25:39.717000","1","51","55","0","0","0",\N,"2021-08-27 15:25:42.402"
"K013","4","2021-08-27 15:25:39.717000","1","52","147","77","541","999",\N,"2021-08-27 15:25:42.402"
"K014","4","2021-08-27 15:25:39.691000","1","56","0","188","0","0",\N,"2021-08-27 15:25:42.402"
"K007","1","2021-08-27 15:25:39.852000","1","25","0","60","0","0",\N,"2021-08-27 15:25:42.402"
"K006","1","2021-08-27 15:25:39.955000","1","21","78","0","0","92",\N,"2021-08-27 15:25:42.402"
"K006","4","2021-08-27 15:25:39.955000","1","24","0","0","92","0",\N,"2021-08-27 15:25:42.402"
"K014","1","2021-08-27 15:25:40.040000","1","53","999","380","0","999",\N,"2021-08-27 15:25:42.402"
"K014","2","2021-08-27 15:25:40.040000","1","54","58","60","0","0",\N,"2021-08-27 15:25:42.402"
"K014","4","2021-08-27 15:25:40.040000","1","56","0","449","0","0",\N,"2021-08-27 15:25:42.402"
