board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4
K001,1,22:03.8,1,1,999,745,110,999
K001,1,22:03.5,1,1,999,569,113,999
K001,1,22:03.2,1,1,999,469,113,999
K001,1,22:02.9,1,1,999,405,113,999
K001,1,22:02.5,1,1,999,429,114,854
K001,1,22:02.3,1,1,999,495,114,999
K001,1,22:02.0,1,1,999,528,113,999
K001,1,22:01.6,1,1,999,506,113,993
K001,1,22:01.3,1,1,999,355,114,782
K001,1,22:01.1,1,1,999,431,114,708
K001,1,22:00.7,1,1,999,342,115,600
K001,1,22:00.4,1,1,999,164,115,640
K001,1,22:00.1,1,1,999,446,116,527
K001,1,21:59.8,1,1,999,907,114,486
K001,1,21:59.5,1,1,999,728,115,416
K001,1,21:59.2,1,1,999,999,113,621
K001,1,21:58.8,1,1,999,999,113,568
K001,1,21:58.5,1,1,999,768,114,501
K001,1,21:58.2,1,1,999,999,111,651
K001,1,21:57.9,1,1,999,694,113,697
K001,1,21:57.6,1,1,999,484,110,189
