TIME,Base,Minor,Rssi,,,
28:13.2,21,21,-59,,,
28:13.2,21,60,-78,,,
28:13.2,21,28,-67,,,
28:13.2,21,26,-56,,,
28:13.3,21,39,-67,,,
28:13.3,21,38,-78,,,
28:13.3,21,57,-69,,,
28:13.3,21,34,-75,,,
28:13.3,21,37,-71,,,
28:13.3,21,52,-74,,,
28:13.3,21,51,-74,,,
28:13.3,21,21,-59,,,
28:13.3,21,43,-66,,,
28:13.3,21,40,-68,,,
28:13.3,21,24,-53,,,
28:13.3,21,48,-65,,,
28:13.3,21,47,-68,,,
28:13.4,21,53,-67,,,
28:13.4,21,39,-68,,,
28:13.4,21,57,-69,,,
28:13.4,21,35,-76,,,
28:13.4,21,56,-64,,,
28:13.4,21,59,-71,,,
28:13.4,21,37,-72,,,
28:13.4,21,22,-50,,,
28:13.4,21,44,-68,,,
28:13.4,21,40,-69,,,
28:13.4,21,27,-68,,,
28:13.4,21,29,-74,,,
28:13.4,21,24,-53,,,
28:13.4,21,23,-59,,,
28:13.5,21,55,-83,,,
28:13.5,21,33,-68,,,
28:13.5,21,32,-73,,,
28:13.5,21,54,-68,,,
28:13.5,21,34,-76,,,
28:13.5,21,59,-71,,,
28:13.5,21,51,-74,,,
28:13.5,21,22,-50,,,
28:13.5,21,44,-68,,,
28:13.5,21,40,-68,,,
28:13.5,21,28,-68,,,
28:13.5,21,29,-74,,,
28:13.5,21,24,-53,,,
28:13.5,21,46,-69,,,
28:13.5,21,48,-65,,,
28:13.5,21,26,-56,,,
28:13.5,21,25,-58,,,
28:13.6,21,53,-68,,,
28:13.6,21,33,-69,,,
28:13.6,21,32,-73,,,
28:13.6,21,39,-67,,,
28:13.6,21,34,-76,,,
28:13.6,21,41,-55,,,
28:13.6,21,22,-50,,,
28:13.6,21,44,-68,,,
28:13.6,21,21,-58,,,
28:13.6,21,60,-79,,,
28:13.6,21,49,-67,,,
28:13.6,21,28,-68,,,
28:13.6,21,24,-52,,,
28:13.6,21,46,-67,,,
28:13.6,21,26,-56,,,
28:13.6,21,47,-68,,,
28:13.7,21,54,-76,,,
28:13.7,21,39,-67,,,
28:13.7,21,38,-71,,,
