board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,avg
K002,1,12:53.5,1,5,53,0,0,0,13.25
K002,1,12:53.2,1,5,53,0,0,0,13.25
K002,1,12:52.9,1,5,53,0,0,0,13.25
K002,1,12:52.6,1,5,53,0,0,0,13.25
K002,1,12:52.3,1,5,53,0,0,0,13.25
K002,1,12:52.0,1,5,53,0,0,0,13.25
K002,1,12:51.7,1,5,53,0,0,0,13.25
K002,1,12:51.4,1,5,53,0,0,0,13.25
K002,1,12:51.1,1,5,53,0,0,0,13.25
K002,1,12:50.8,1,5,53,0,0,0,13.25
K002,1,12:50.5,1,5,53,0,0,0,13.25
K002,1,12:50.2,1,5,53,0,0,0,13.25
K002,1,12:49.9,1,5,53,0,0,0,13.25
K002,1,12:49.5,1,5,53,0,0,0,13.25
K002,1,12:49.2,1,5,53,0,0,0,13.25
K002,1,12:48.9,1,5,53,0,0,0,13.25
K002,1,12:48.6,1,5,53,0,0,0,13.25
K002,1,12:48.3,1,5,53,0,0,0,13.25
K002,1,12:48.0,1,5,53,0,0,0,13.25
K002,1,12:47.7,1,5,53,0,0,0,13.25
K002,1,12:47.4,1,5,53,0,0,0,13.25
K002,1,12:47.1,1,5,53,0,0,0,13.25
K002,1,12:46.8,1,5,53,0,0,0,13.25
K002,1,12:46.5,1,5,53,0,0,0,13.25
K002,1,12:46.2,1,5,53,0,0,0,13.25
K002,1,12:45.9,1,5,53,0,0,0,13.25
K002,1,12:45.6,1,5,53,0,0,0,13.25
K002,1,12:45.3,1,5,53,0,0,0,13.25
K002,1,12:45.0,1,5,53,0,0,0,13.25
K002,1,12:44.7,1,5,53,0,0,0,13.25
K002,1,12:44.4,1,5,53,0,0,0,13.25
K002,1,12:44.1,1,5,53,0,0,0,13.25
K002,1,12:43.8,1,5,53,0,0,0,13.25
K002,1,12:43.5,1,5,53,0,0,0,13.25
K002,1,12:43.1,1,5,53,0,0,0,13.25
K002,1,12:42.8,1,5,53,0,0,0,13.25
K002,1,12:42.5,1,5,54,0,0,0,13.5
K002,1,12:42.2,1,5,54,0,0,0,13.5
K002,1,12:41.9,1,5,54,0,0,0,13.5
K002,1,12:41.6,1,5,54,0,0,0,13.5
K002,1,12:41.3,1,5,54,0,0,0,13.5
K002,1,12:41.0,1,5,54,0,0,0,13.5
K002,1,12:40.7,1,5,54,0,0,0,13.5
K002,1,12:40.4,1,5,54,0,0,0,13.5
K002,1,12:40.1,1,5,54,0,0,0,13.5
K002,1,12:39.8,1,5,54,0,0,0,13.5
K002,1,12:39.5,1,5,54,0,0,0,13.5
K002,1,12:39.2,1,5,54,0,0,0,13.5
