board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K015,1,12:37.0,1,57,85,53,0,71,\N,12:37.1
K015,4,12:37.0,1,60,0,0,73,0,\N,12:37.1
K009,3,12:37.0,1,35,999,999,999,999,\N,12:37.5
K010,1,12:37.1,1,37,78,0,81,81,\N,12:37.5
K010,2,12:37.1,1,38,723,999,945,645,\N,12:37.5
K014,4,12:37.1,1,56,92,196,0,0,\N,12:37.5
K010,3,12:37.1,1,39,56,54,0,132,\N,12:37.5
K015,1,12:37.4,1,57,83,53,0,70,\N,12:37.5
K015,4,12:37.4,1,60,0,0,72,0,\N,12:37.5
K009,3,12:37.4,1,35,999,999,967,683,\N,12:37.5
K010,1,12:37.4,1,37,78,0,78,80,\N,12:37.5
K010,2,12:37.4,1,38,999,999,999,999,\N,12:37.5
K014,4,12:37.4,1,56,92,196,0,0,\N,12:37.5
K010,3,12:37.4,1,39,79,0,0,89,\N,12:37.5
K015,1,12:37.7,1,57,83,51,0,70,\N,12:37.9
K015,4,12:37.7,1,60,0,0,71,0,\N,12:37.9
K009,3,12:37.7,1,35,999,999,999,974,\N,12:37.9
K010,1,12:37.7,1,37,77,0,79,80,\N,12:37.9
K010,2,12:37.7,1,38,999,999,999,999,\N,12:37.9
K014,4,12:37.7,1,56,92,196,0,0,\N,12:37.9
K010,3,12:37.7,1,39,74,0,0,113,\N,12:37.9
K015,1,12:38.0,1,57,84,51,0,70,\N,12:38.4
K015,4,12:38.0,1,60,0,0,72,0,\N,12:38.4
K009,3,12:38.0,1,35,999,999,999,999,\N,12:38.4
K014,4,12:38.1,1,56,92,196,0,0,\N,12:38.4
K010,1,12:38.1,1,37,77,0,80,79,\N,12:38.4
K010,2,12:38.1,1,38,879,999,999,999,\N,12:38.4
K010,3,12:38.1,1,39,64,0,0,124,\N,12:38.4
K015,1,12:38.3,1,57,84,51,0,70,\N,12:38.4
K015,4,12:38.3,1,60,0,0,72,0,\N,12:38.4
K009,3,12:38.3,1,35,999,999,999,999,\N,12:38.4
K014,4,12:38.4,1,56,92,197,0,0,\N,12:38.4
K010,1,12:38.4,1,37,77,0,80,79,\N,12:38.8
K010,2,12:38.4,1,38,936,999,999,999,\N,12:38.8
K010,3,12:38.4,1,39,62,0,0,115,\N,12:38.8
K015,1,12:38.6,1,57,84,0,0,69,\N,12:38.8
K015,4,12:38.6,1,60,0,0,71,0,\N,12:38.8
K009,3,12:38.6,1,35,999,999,999,999,\N,12:38.8
K014,4,12:38.8,1,56,92,197,0,0,\N,12:38.8
K010,1,12:38.8,1,37,77,0,79,79,\N,12:38.8
K010,2,12:38.8,1,38,999,999,999,999,\N,12:38.8
