"no","user_no","board_id","block_id","major","minor","rssi","reg_dt"
"143","1","B003","2","1","10","-58","2021-06-15 02:49:55.573000"
"144","1","B003","2","1","10","-58","2021-06-15 02:49:55.550000"
"145","1","B003","1","1","9","-85","2021-06-15 02:49:55.963000"
"146","1","B003","1","1","9","-85","2021-06-15 02:49:55.970000"
"147","1","B003","3","1","11","-91","2021-06-15 02:49:55.963000"
"148","1","B003","3","1","11","-91","2021-06-15 02:49:55.970000"
"149","1","B003","4","1","12","-100","2021-06-15 02:49:55.963000"
"150","1","B003","4","1","12","-100","2021-06-15 02:49:55.970000"
"151","1","B003","2","1","10","-82","2021-06-15 02:49:55.963000"
"152","1","B003","2","1","10","-82","2021-06-15 02:49:55.970000"
"153","1","B003","1","1","9","-85","2021-06-15 02:49:56.252000"
"154","1","B003","3","1","11","-91","2021-06-15 02:49:56.252000"
"155","1","B003","4","1","12","-99","2021-06-15 02:49:56.252000"
"156","1","B003","2","1","10","-86","2021-06-15 02:49:56.252000"
"157","1","B003","1","1","9","-85","2021-06-15 02:49:56.278000"
"158","1","B003","3","1","11","-91","2021-06-15 02:49:56.278000"
"159","1","B003","4","1","12","-99","2021-06-15 02:49:56.278000"
"160","1","B003","2","1","10","-86","2021-06-15 02:49:56.278000"
"161","1","B003","1","1","9","-86","2021-06-15 02:49:56.659000"
"162","1","B003","1","1","9","-86","2021-06-15 02:49:56.669000"
"163","1","B003","3","1","11","-92","2021-06-15 02:49:56.659000"
"164","1","B003","3","1","11","-92","2021-06-15 02:49:56.669000"
"165","1","B003","4","1","12","-99","2021-06-15 02:49:56.659000"
"166","1","B003","4","1","12","-99","2021-06-15 02:49:56.669000"
"167","1","B003","2","1","10","-60","2021-06-15 02:49:56.659000"
"168","1","B003","2","1","10","-60","2021-06-15 02:49:56.669000"
"169","1","B003","1","1","9","-88","2021-06-15 02:49:56.963000"
"170","1","B003","1","1","9","-88","2021-06-15 02:49:56.972000"
"171","1","B003","3","1","11","-91","2021-06-15 02:49:56.963000"
"172","1","B003","3","1","11","-91","2021-06-15 02:49:56.972000"
"173","1","B003","4","1","12","-99","2021-06-15 02:49:56.963000"
"174","1","B003","4","1","12","-99","2021-06-15 02:49:56.972000"
"175","1","B003","2","1","10","-84","2021-06-15 02:49:56.972000"
"176","1","B003","2","1","10","-84","2021-06-15 02:49:56.963000"
"177","1","B003","1","1","9","-63","2021-06-15 02:49:57.356000"
"178","1","B003","3","1","11","-93","2021-06-15 02:49:57.356000"
"179","1","B003","4","1","12","-101","2021-06-15 02:49:57.356000"
"180","1","B003","2","1","10","-84","2021-06-15 02:49:57.356000"
"181","1","B003","1","1","9","-63","2021-06-15 02:49:57.373000"
"182","1","B003","3","1","11","-93","2021-06-15 02:49:57.373000"
"183","1","B003","4","1","12","-101","2021-06-15 02:49:57.373000"
"184","1","B003","2","1","10","-84","2021-06-15 02:49:57.373000"
"185","1","B003","1","1","9","-84","2021-06-15 02:49:57.653000"
"186","1","B003","3","1","11","-92","2021-06-15 02:49:57.653000"
"187","1","B003","4","1","12","-101","2021-06-15 02:49:57.653000"
"188","1","B003","2","1","10","-84","2021-06-15 02:49:57.653000"
"189","1","B003","1","1","9","-84","2021-06-15 02:49:57.744000"
"190","1","B003","3","1","11","-92","2021-06-15 02:49:57.744000"
"191","1","B003","4","1","12","-101","2021-06-15 02:49:57.744000"
"192","1","B003","2","1","10","-84","2021-06-15 02:49:57.744000"
"193","1","B003","1","1","9","-88","2021-06-15 02:49:58.026000"
"194","1","B003","1","1","9","-88","2021-06-15 02:49:58.025000"
"195","1","B003","3","1","11","-69","2021-06-15 02:49:58.026000"
"196","1","B003","3","1","11","-69","2021-06-15 02:49:58.025000"
"197","1","B003","4","1","12","-77","2021-06-15 02:49:58.026000"
"198","1","B003","4","1","12","-77","2021-06-15 02:49:58.025000"
"199","1","B003","2","1","10","-83","2021-06-15 02:49:58.026000"
"200","1","B003","2","1","10","-83","2021-06-15 02:49:58.025000"
"201","1","B003","1","1","9","-88","2021-06-15 02:49:58.141000"
"202","1","B003","3","1","11","-69","2021-06-15 02:49:58.141000"
"203","1","B003","4","1","12","-77","2021-06-15 02:49:58.141000"
"204","1","B003","2","1","10","-83","2021-06-15 02:49:58.141000"
"205","1","B003","1","1","9","-88","2021-06-15 02:49:58.319000"
"206","1","B003","3","1","11","-69","2021-06-15 02:49:58.319000"
"207","1","B003","4","1","12","-77","2021-06-15 02:49:58.319000"
"208","1","B003","2","1","10","-83","2021-06-15 02:49:58.319000"
"209","1","B003","1","1","9","-88","2021-06-15 02:49:58.394000"
"210","1","B003","3","1","11","-69","2021-06-15 02:49:58.394000"
"211","1","B003","4","1","12","-77","2021-06-15 02:49:58.394000"
"212","1","B003","2","1","10","-83","2021-06-15 02:49:58.394000"
"213","1","B003","1","1","9","-88","2021-06-15 02:49:58.505000"
"214","1","B003","3","1","11","-69","2021-06-15 02:49:58.505000"
"215","1","B003","4","1","12","-77","2021-06-15 02:49:58.505000"
"216","1","B003","2","1","10","-83","2021-06-15 02:49:58.505000"
"217","1","B003","1","1","9","-88","2021-06-15 02:49:58.573000"
"218","1","B003","3","1","11","-69","2021-06-15 02:49:58.573000"
"219","1","B003","4","1","12","-77","2021-06-15 02:49:58.573000"
"220","1","B003","2","1","10","-83","2021-06-15 02:49:58.573000"
"221","1","B003","1","1","9","-88","2021-06-15 02:49:58.662000"
"222","1","B003","3","1","11","-69","2021-06-15 02:49:58.662000"
"223","1","B003","4","1","12","-77","2021-06-15 02:49:58.662000"
"224","1","B003","2","1","10","-83","2021-06-15 02:49:58.662000"
"225","1","B003","1","1","9","-88","2021-06-15 02:49:58.778000"
"226","1","B003","3","1","11","-69","2021-06-15 02:49:58.778000"
